<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.19	08:00:00	2502.15	2507.18	2485.72	2501.33	47520	0	4
2024.08.19	16:00:00	2501.30	2507.55	2500.00	2504.35	24634	0	4
2024.08.20	00:00:00	2504.38	2508.28	2497.38	2502.59	34393	0	4
2024.08.20	08:00:00	2502.50	2531.69	2501.26	2523.90	50888	0	4
2024.08.20	16:00:00	2523.86	2524.04	2500.97	2514.81	28796	0	4
2024.08.21	00:00:00	2514.82	2519.98	2510.98	2514.47	35303	0	4
2024.08.21	08:00:00	2514.53	2517.03	2494.10	2501.49	45916	0	4
2024.08.21	16:00:00	2501.52	2519.15	2501.49	2514.04	29869	0	4
2024.08.22	00:00:00	2514.05	2514.70	2499.39	2507.54	38097	0	4
2024.08.22	08:00:00	2507.58	2509.83	2470.85	2480.14	49911	0	4
2024.08.22	16:00:00	2480.12	2486.05	2475.08	2485.20	28578	0	4
2024.08.23	00:00:00	2485.20	2495.80	2485.02	2492.93	34625	0	4
2024.08.23	08:00:00	2492.94	2517.86	2491.77	2509.18	46386	0	4
2024.08.23	16:00:00	2509.24	2518.37	2501.92	2512.49	32064	0	4
2024.08.25	16:00:00	2512.08	2514.63	2511.13	2513.08	1816	0	4
2024.08.26	00:00:00	2513.10	2516.96	2508.80	2515.06	41069	0	4
2024.08.26	08:00:00	2515.10	2526.86	2510.70	2516.97	46685	0	4
2024.08.26	16:00:00	2516.91	2523.41	2511.47	2517.36	25788	0	4
2024.08.27	00:00:00	2517.39	2517.73	2505.91	2515.00	34642	0	4
2024.08.27	08:00:00	2514.97	2518.15	2503.60	2514.78	48120	0	4
2024.08.27	16:00:00	2514.79	2526.04	2509.98	2525.67	28061	0	4
2024.08.28	00:00:00	2525.68	2529.06	2503.42	2508.60	34135	0	4
2024.08.28	08:00:00	2508.56	2511.41	2493.73	2507.65	45444	0	4
2024.08.28	16:00:00	2507.61	2510.27	2496.52	2507.30	29861	0	4
2024.08.29	00:00:00	2507.23	2521.25	2506.55	2516.99	30923	0	4
2024.08.29	08:00:00	2516.97	2524.43	2503.69	2522.17	47294	0	4
2024.08.29	16:00:00	2522.25	2528.70	2517.50	2520.98	31402	0	4
2024.08.30	00:00:00	2521.00	2524.13	2512.28	2517.90	36687	0	4
2024.08.30	08:00:00	2517.91	2526.86	2506.49	2509.13	57440	0	4
2024.08.30	16:00:00	2509.14	2509.59	2494.29	2503.23	37915	0	4
2024.09.01	16:00:00	2502.76	2504.89	2502.60	2503.51	1295	0	4
2024.09.02	00:00:00	2503.52	2505.03	2490.16	2497.68	37479	0	4
2024.09.02	08:00:00	2497.67	2507.33	2496.26	2502.08	40705	0	4
2024.09.02	16:00:00	2502.11	2502.49	2497.60	2497.81	7484	0	4
2024.09.03	00:00:00	2497.81	2498.94	2489.91	2497.94	40743	0	4
2024.09.03	08:00:00	2497.92	2506.34	2473.60	2478.33	70157	0	4
2024.09.03	16:00:00	2478.38	2494.48	2477.25	2493.14	32761	0	4
2024.09.04	00:00:00	2493.15	2496.92	2483.78	2484.34	35943	0	4
2024.09.04	08:00:00	2484.32	2500.28	2471.96	2496.29	65877	0	4
2024.09.04	16:00:00	2496.27	2498.41	2491.56	2495.43	29597	0	4
2024.09.05	00:00:00	2495.44	2506.98	2493.89	2504.46	35354	0	4
2024.09.05	08:00:00	2504.41	2523.50	2503.06	2508.79	63344	0	4
2024.09.05	16:00:00	2508.84	2516.90	2504.02	2516.24	29779	0	4
2024.09.06	00:00:00	2516.23	2521.90	2513.08	2519.26	31834	0	4
2024.09.06	08:00:00	2519.20	2529.18	2500.61	2506.80	64113	0	4
2024.09.06	16:00:00	2506.85	2518.49	2485.21	2497.37	47182	0	4
2024.09.08	16:00:00	2497.06	2498.04	2496.22	2497.93	1499	0	4
2024.09.09	00:00:00	2497.98	2500.47	2485.60	2489.84	44432	0	4
2024.09.09	08:00:00	2489.85	2505.33	2488.95	2496.92	58942	0	4
2024.09.09	16:00:00	2496.93	2507.24	2493.66	2507.11	26573	0	4
2024.09.10	00:00:00	2507.02	2507.71	2500.84	2505.16	33003	0	4
2024.09.10	08:00:00	2504.96	2515.38	2500.21	2509.13	57910	0	4
2024.09.10	16:00:00	2509.19	2518.47	2508.31	2516.54	29085	0	4
2024.09.11	00:00:00	2516.57	2529.10	2515.04	2526.64	41429	0	4
2024.09.11	08:00:00	2526.65	2527.79	2488.00	2509.51	69415	0	4
2024.09.11	16:00:00	2509.54	2520.07	2508.78	2512.94	34439	0	4
2024.09.12	00:00:00	2512.93	2522.30	2511.09	2516.95	36335	0	4
2024.09.12	08:00:00	2516.97	2554.82	2513.10	2553.41	101498	0	4
2024.09.12	16:00:00	2553.43	2560.09	2544.91	2557.48	64856	0	4
2024.09.13	00:00:00	2557.51	2570.31	2556.72	2567.16	66396	0	4
2024.09.13	08:00:00	2567.18	2583.41	2563.73	2578.39	94403	0	4
2024.09.13	16:00:00	2578.40	2586.09	2573.77	2578.88	48341	0	4
2024.09.15	16:00:00	2578.22	2580.49	2577.71	2580.12	2924	0	4
2024.09.16	00:00:00	2580.15	2589.69	2578.33	2585.33	37067	0	4
2024.09.16	08:00:00	2585.35	2589.37	2575.34	2580.29	84144	0	4
2024.09.16	16:00:00	2580.28	2584.18	2577.74	2582.96	36120	0	4
2024.09.17	00:00:00	2583.03	2586.97	2574.64	2584.40	42527	0	4
2024.09.17	08:00:00	2584.39	2585.71	2568.47	2576.50	91800	0	4
2024.09.17	16:00:00	2576.51	2577.16	2560.84	2570.80	50600	0	4
2024.09.18	00:00:00	2570.78	2576.52	2565.79	2569.12	56960	0	4
2024.09.18	08:00:00	2569.15	2580.76	2568.03	2571.70	72155	0	3
2024.09.18	16:00:00	2571.71	2600.19	2547.02	2559.36	95485	0	4
2024.09.19	00:00:00	2559.35	2578.83	2551.29	2575.88	80921	0	4
2024.09.19	08:00:00	2575.87	2594.92	2569.87	2581.30	117405	0	4
2024.09.19	16:00:00	2581.32	2592.70	2580.50	2587.80	47016	0	4
2024.09.20	00:00:00	2587.72	2607.03	2584.87	2605.49	56499	0	4
2024.09.20	08:00:00	2605.52	2619.39	2602.55	2614.05	102058	0	4
2024.09.20	16:00:00	2614.12	2625.80	2611.32	2622.17	60278	0	4
2024.09.22	16:00:00	2621.06	2622.07	2619.78	2620.48	1510	0	4
2024.09.23	00:00:00	2620.48	2631.41	2616.14	2624.51	49147	0	4
2024.09.23	08:00:00	2624.50	2634.89	2613.91	2630.47	93294	0	4
2024.09.23	16:00:00	2630.48	2632.01	2625.74	2627.58	45265	0	4
2024.09.24	00:00:00	2627.55	2640.17	2623.87	2628.76	70431	0	4
2024.09.24	08:00:00	2628.77	2647.18	2622.72	2643.59	89423	0	4
2024.09.24	16:00:00	2643.59	2664.40	2639.83	2659.23	45971	0	4
2024.09.25	00:00:00	2659.19	2670.62	2653.61	2654.80	48801	0	4
2024.09.25	08:00:00	2654.85	2667.50	2651.54	2659.03	60704	0	4
2024.09.25	16:00:00	2659.13	2663.02	2649.82	2658.36	35081	0	4
2024.09.26	00:00:00	2658.31	2663.47	2655.47	2661.78	36923	0	4
2024.09.26	08:00:00	2661.77	2685.63	2654.88	2665.92	106605	0	4
2024.09.26	16:00:00	2665.91	2677.89	2662.56	2672.41	57755	0	4
2024.09.27	00:00:00	2672.46	2674.04	2662.40	2665.83	73666	0	4
2024.09.27	08:00:00	2665.84	2674.31	2649.49	2649.60	106731	0	4
2024.09.27	16:00:00	2649.57	2660.26	2643.15	2658.29	64695	0	4
2024.09.29	16:00:00	2662.10	2663.57	2659.89	2662.81	4769	0	4
2024.09.30	00:00:00	2662.78	2665.99	2647.42	2657.88	73311	0	4
2024.09.30	08:00:00	2657.90	2660.68	2628.87	2633.33	102648	0	4
2024.09.30	16:00:00	2633.34	2641.90	2624.72	2635.04	65935	0	4
2024.10.01	00:00:00	2635.07	2645.59	2634.00	2645.34	37540	0	4
2024.10.01	08:00:00	2645.38	2671.69	2641.77	2659.33	99724	0	4
2024.10.01	16:00:00	2659.30	2673.12	2653.91	2662.14	68051	0	4
2024.10.02	00:00:00	2662.15	2662.31	2644.59	2649.83	49154	0	4
2024.10.02	08:00:00	2649.74	2663.28	2643.87	2648.14	89272	0	4
2024.10.02	16:00:00	2648.15	2660.39	2641.18	2659.53	47053	0	4
